Source,Target,year,type,quantity,...
1,261,1358,obveneni,"podíl na Konici, Lelekovicích, Rájci",
2,159,1390,obveneni,"část Lomnice, Drásova, Brusní, Veselé, Ochoz, Sinolové, Strhaří, Osiky, Přibyslavice, Brumov, Bedřichové, celá Navznětíně",
2,159,1390,obveneni,"Sevznetín, Bedřichová",
3,85,1368,obveneni,SEnice,
8,298,1349,obveneni,Koryčany a popluží v Černíkovicích,
12,265,1365,obveneni,na kvasickém panství,
13,69,1358,obveneni,Uhrčice u Prostějova,
14,0,1390,obveneni,"Rozumice, Kuty",
16,310,1360,obveneni,Šitbořice,
17,185,1358,obveneni,1/2 Drnholce,
18,178,1355,obveneni,"Loštice, Moravičany - díly",
19,319,1390,obveneni,"Dalečín, Písečné, dětochov, Hluboké, Korouhvice, Chlum, části Strachoňova, Ubušínů velkého a malého, Nedvědička, Rovečného, Niklovic, věšína malého i velkého, Prosetína",
20,180,1378,obveneni,část Újezda a Martínkova,
21,68,1398,obveneni,"16(4 k dvoru) lánů a dvůrv Deblíně, 2 lány v Pustkově, 6 lánů a 1 cu v Ždárci, 4 lány v Katově",
21,68,1399,obveneni,dvůr v Deblíně se 4 lány a les Dehetník,
22,174,1365,obveneni,Drahanovice a Libňovice,
23,7,1420,obveneni,Václavov a Pivonín,
24,259,1396,obveneni,,
24,259,1406,obveneni,platy na konickém panství,
25,354,1381,obveneni,Krnčice,
25,354,1383,obveneni,"Lesonice, Stará Říše, Lipolc, Veselí",
26,163,1417,obveneni,Lhota,
26,163,1420,obveneni,2 lány v Pňovicích,
26,163,1416,obveneni,"Lávka, 8,5 lánu v Pňovicích",
27,295,1376,obveneni,Vzdounky,
28,347,před 1369,obveneni,Bučovice,
29,0,1355,obveneni,"400 kop v Lestnici, 40 v Sesově",
30,91,1349,obveneni,"1 lán v Bystřici, 5 /4 a 6,25 hřiven v Šonvaldu",
31,330,1353,obveneni,"Tasov, Ruda, Doubrava",
32,311,1364,obveneni,"8 hřiven z 9 lánů v Břeští, 10 v Jedově a 2 v Jesenici",
33,76,1361,obveneni,Zvěrkovice,
34,181,1407,obveneni,"Prosiměřice, Únanov, Zvěrkovice",
35,326,1348,obveneni,,
36,143,1366,obveneni,"Zvole, Braníškov, Bojanov",
37,299,1373,obveneni,Čermákovice,
38,289,před 1406 (1397),obveneni,Babice s dvorem,
38,289,1381,obveneni,"Stagnov a Dědice, Dědice, Řechtářov, Lipina, Opatovice, Radslavice, Počenice, Strabenice, Muřínov, 5 popluží a 2 rybníky v Čihovicích, Klínovicích, Vitonicích",
40,349,1385,obveneni,Milotice a Dubňany,
41,71,1353,obveneni,"1/ měst. Loštice1/2 Palonín, 1/2 Doubravice 1/2 Obyčtova,",
42,149,1379,obveneni,Konice,
42,182,1386,obveneni,"část Medlova, Bojanovice, Černín",
42,182,1385,obveneni,Medlov,
43,154,1360,obveneni,Pivín a Ohrozim,
44,72,1374,obveneni,"dvůr, 2 lány, mlýn v Korezina Lhota, doplatit Křtomil",
46,166,1390,obveneni,"Vícenice, Slavětice",
45,154,1348,obveneni,Sebranice,
47,318,1385,obveneni,"Malhostovice, Horní Loučka",
48,81,1361,obveneni,část Meziříčí,
49,173,1377,obveneni,"Otasalvice,Dobrochov, Bylnice, Lhota",
49,173,1382,obveneni,"Otaslavice, Dobrošov, Lhota, Vranovice, Kobylníky",
49,173,1398,obveneni,"Otaslavice,Dobrochov, Vranovice, Kobylník, Lhotka",
50,188,1415,obveneni,platy ve více místech,
51,139,1415,obveneni,"předměstí Ostrohu, Lhota, Blatnice",
53,264,1420,obveneni,"Trávník, Tlumačov",
54,267,1415,obveneni,Přerov,
54,267,1416,obveneni,dvůr v Předmostí,
57,319,1406,obveneni,"Hluboká, Korouhvičí, Chlum, Věstínky malé a velké, Třeštné, Rovečné, Prosetín, Niklovice, Vír",
57,319,1407,obveneni,Moravská Olešnice,
58,159,1417,obveneni,Horní Dubňany,
59,160,1356,obveneni,"Košíkov, Neustift, Záblatí",
59,160,1364,obveneni,"Rudíkov, Hroznětín, Neustift, Záblatí, zahrádka",
60,140,1362,obveneni,"části Mikulčic, Foydesbrun, Lednice, Nejdek, Milonice, Bulhary, Ungirdorf, Glemptic, Pergen, Mušov",
60,325,1374,obveneni,Jičín,
60,325,1377,obveneni,Jičín,
62,287,1409,obveneni,25 platu ve Vlčnově,
65,276,1358,obveneni,Kunovice,
66,304,1390,obveneni,"1/2 Bošovic, 1/2 Chřípova, (Bojanovice)",
66,304,1390,obveneni,"Bojanovice (u Hodonína), Lužice, (Bořetice u Boleradic)",
66,324,1407,obveneni,"Jámy, ostrov",
66,324,1385,obveneni,"Budkovany, Husí, Kolerr, Gotriedslág, Bystřice, Hamlíkov, Podav",
71,215,1353,obveneni,"1/2 Pozořic, 1/2 Šumic, 1/2 Čech",
82,307,1390,obveneni,5 lánů ve Zvoli,
82,307,před 1406,obveneni,"Petrovice, Podolí",
74,260,1368,obveneni,městečko Tištín,
83,156,1351,obveneni,,
348,241,1391,obveneni,"1/2 Olešnice, část Bohuňov, Poříčí, Prádle",
351,317,před 1373 (69),obveneni,"Boleradice, 1/2 Bošovic, 1/2 Chřípova, 6,5 viných hor v B. dvůr v Boš. Dvůr a víno v Sádkově",
352,144,1410,obveneni,?,
86,279,1398,obveneni,Závořice,
87,314,1364,obveneni,"Mohelno, Lhánice",
88,315,1418,obveneni,"Židlochovice,Unkovice",
89,178,1369,obveneni,část Vildenberka,
90,301,1390,obveneni,část tasova,
90,301,1416,obveneni,část jesenice,
