id,Label,group,gender,condition,location_x,location_y,...
1,Adam z Konice,30,m,h,49.591845,16.888002,
2,Adlička,?,f,?,?,?,
3,Adlička z Turovic,50,f,l,49.424449,17.580251,
4,Albert (Aleš) ze Světlova,15,m,h,49.151617,17.762731,
5,Albert a Smil z Víckova,50,m,l,49.396338,16.259855,
6,Albert z Cimburka,28,m,h,49.103667,17.216416,
7,Albert z Lesnice,14,m,h,49.883313,16.941538,
8,Albert z Tovačova,28,m,h,49.429254,17.285341,
9,Albrecht ze Šterberka,15,m,h,49.726674,17.287246,
10,Albrecht ze Šternberka (+1347),15,m,h,49.726674,17.287246,
11,Aleš z Ronova,31,m,p,49.565616,15.773737,
12,Alžběta,?,f,?,?,?,
13,Alžběta z Letovic,1,f,p,49.547132,16.572551,
14,"Alžběta, v. Václava z Kravař",?,f,?,?,?,
15,Anežka,?,f,?,?,?,
16,Anežka (1),?,f,?,?,?,
17,Anežka (2),?,f,?,?,?,
18,Anežka (3),?,f,?,?,?,
19,Anežka (z Potštejna?),32,f,p,50.078009,16.301688,
20,Anežka z Boskovic,12,f,h,49.489287,16.655316,
21,Anežka z Doubravice,27,f,p,49.436617,16.628003,
22,Anežka z Drahanovic,50,f,l,49.578289,17.076803,
23,Anežka z Holštejna,34,f,h,49.406321,16.777645,
24,Anežka z Hradce,26,f,h,49.154536,15.003708,
25,Anežka z Myslibořic,5,f,p,49.104759,15.981915,
26,Anežka z Valdštejna,44,f,h,50.562481,50.562481,
27,Anežka z Vartenberka,25,f,h,48.857491,16.484723,
28,Anežka ze Zbraslavi,14,f,p,49.221401,16.291203,
29,Anka z Lestnice,14,f,h,49.883313,16.941538,
30,Anna (1),?,f,?,?,?,
31,Anna (2),?,f,?,?,?,
32,Anna (3),?,f,?,?,?,
33,Anna (4),?,f,?,?,?,
34,Anna (5),?,f,?,?,?,
35,Anna (6),?,f,?,?,?,
36,Anna (7),?,f,?,?,?,
37,Anna (8),?,f,?,?,?,
38,Anna Opavská,49,f,h,49.937150,17.896229,
39,Anna z Benešova,23,f,h,49.968575,17.597219,
40,Anna z Boskovic,12,f,h,49.489287,16.655316,
41,Anna z Dubé,31,f,h,50.539052,14.538866,
42,Anna z Konic,30,f,h,49.591845,16.888002,
43,Anna z Kravař,23,f,h,49.932302,18.007139,
44,Anna z Lhoty,50,f,l,?,?,
45,Anna z Lomnice,10,f,h,49.404650,16.412104,
46,Anna z Lípy,29,f,h,50.679794,14.538797,
47,Anna z Meziříčí,10,f,h,49.356676,16.012184,
48,Anna z Mostiště,10,f,p,49.377295,16.016391,
49,Anna z Otaslavic,30,f,p,49.388752,17.069732,
50,Anna z Pernštejna,3,f,h,49.451004,16.318090,
51,Anna z Rýzmberka,22,f,p,49.406901,13.030922,
52,Anna z Tasova,10,f,p,49.287186,16.095281,
53,Anna z Tovačova,28,f,h,49.429254,17.285341,
54,Anna z Vízmburka,50,f,p,50.485078,16.049722,
55,Anna ze Sovince,?,f,h,?,?,
56,Anna ze Šternberka,15,f,h,49.726674,17.287246,
57,Anna ze Šternberka (1),15,f,h,49.726674,17.287246,
58,Anna ze Šternberka (2),15,f,h,49.726674,17.287246,
59,Anna ze Šternberka (3),15,f,h,49.726674,17.287246,
60,Anna ze Šternberka (4),15,f,h,49.726674,17.287246,
61,"Anna, Leopolda z Krajku",10,f,h,46.767942,14.361801,
62,"Anna, vdova Jaroslava z Šelmberka",50,f,?,?,?,
63,"Anna, vdova Markvarta ze Šternberka",?,f,?,?,?,
64,Archleb a Erhart z Kunštátu,14,f,h,49.506294,16.518501,
65,Barbora z Boskovic,12,f,h,49.489287,16.655316,
66,Barbora z Gilgenberku,50,f,l,?,?,
67,Bedřich z Rýzmburka,22,m,p,49.406901,13.030922,
68,Beneš z Deblína,10,m,p,49.320631,16.346199,
69,Beneš z Kravař,23,m,h,49.932302,18.007139,
70,Beneš z Kvasic a Benešova,23,m,p,49.241725,17.470156,
71,Beneš z Vildenberka,27,m,h,49.233243,16.818222,
72,Beneš ze Štrálku,19,m,p,49.910088,17.241697,
73,Bohuslav z Mitrova,50,m,p,49.441135,16.218704,
74,Bolka (z Jakubova),3,f,p,49.083675,15.760561,
75,"Bolka, manželka Štěpánka",50,f,?,?,?,
76,Boček z Jevišovic,14,m,h,48.987644,15.988378,
77,Boček z Kunštátu,14,m,h,49.506294,16.518501,
78,Boček z Opatovic,14,m,h,49.506294,16.518501,
79,Budiš z Kvasic,23,m,p,49.241725,17.470156,
80,Buněk z Mostiště,10,m,p,49.377295,16.016391,
81,Bušek z Mostiště,10,m,p,49.377295,16.016391,
82,Bětka z Ronova,31,f,p,49.565616,15.773737,
83,Cecilie z Cimburka,28,f,h,49.103667,17.216416,
84,Ctibor z Cimburka,28,m,h,49.103667,17.216416,
85,Dobeš ze Štrálku,19,m,p,49.910088,17.241697,
86,Dorota (1),?,f,?,?,?,
87,Dorota (2),?,f,?,?,?,
88,Dorota z Bránic,23,f,p,50.050396,17.790385,
89,Dorota z Kravař,23,f,h,49.932302,18.007139,
90,Dorota z Okárce,50,f,l,49.206042,16.087781,
91,Drslav z Čistého Slemene,2,m,h,?,?,
92,Drslav z Šelmberka,33,m,p,49.548305,14.825942,
93,Elena,?,f,?,?,?,
94,Eliška (1),?,f,?,?,?,
95,Eliška (2),?,f,?,?,?,
96,Eliška (3),?,f,?,?,?,
97,Eliška (4),?,f,?,?,?,
98,Eliška (5),?,f,?,?,?,
99,Eliška (6),?,f,?,?,?,
100,Eliška (7),?,f,?,?,?,
101,Eliška (8),?,f,?,?,?,
102,Eliška z Bučovic,50,f,l,49.150148,16.999814,
103,Eliška z Cimburka,28,f,h,49.103667,17.216416,
104,Eliška z Hradce,26,f,h,49.154536,18.007139,
105,Eliška z Konice,30,f,h,49.591845,16.888002,
106,Eliška z Kravař,23,f,h,49.932302,18.007139,
107,Eliška z Kravař (1),23,f,h,49.932302,18.007139,
108,Eliška z Kravař (2),23,f,h,49.932302,18.007139,
109,Eliška z Krotenful (u Žichlínku),50,f,l,49.883965,16.635212,
110,Eliška z Kunštátu,14,f,h,49.506294,16.518501,
111,Eliška z Kvasic,23,f,p,49.241725,17.470156,
112,Eliška z Lesnice,14,f,h,49.883313,16.941538,
113,Eliška z Lípy (1),29,f,h,50.679794,14.538797,
114,Eliška z Lípy (2),29,f,h,50.679794,14.538797,
115,Eliška z Meziříčí,10,f,h,49.356676,16.012184,
116,Eliška z Pernštejna,3,f,h,49.451004,16.318090,
117,Eliška z Vartenberka,25,f,h,48.857491,16.484723,
118,Eliška ze Skuhrova,10,f,p,49.684747,15.531738,
119,Eliška ze Zástřizl,50,f,l,49.149818,17.234482,
120,Eliška ze Šternberka,15,f,h,49.726674,17.287246,
121,Eliška ze Štrálku,19,f,p,49.910088,17.241697,
122,"Eliška, vdova Viléma ze Zlína",?,f,?,?,?,
123,Erhart Puška z Otaslavic,14,m,h,49.388752,17.069732,
124,Erhart z Kunštátu,14,m,h,49.506294,16.518501,
125,Erhart z Kunštátu (1),14,m,h,49.506294,16.518501,
126,Erhart z Kunštátu (2),14,m,h,49.506294,16.518501,
127,Erhart z Kunštátu (3),14,m,h,49.506294,16.518501,
128,Erhart z Lesnice,14,m,h,49.883313,16.941538,
129,Erhart ze Skal,14,m,h,49.637924,16.208122,
130,Erhart ze Sovince,38,m,h,49.837427,17.245907,
131,Eva,50,f,?,?,?,
132,Eva ze Starče,50,f,l,49.197618,15.828338,
133,Froska,50,f,?,?,?,
134,Gertruda z Vartenberku,25,f,h,48.857491,16.484723,
135,Habart ze Sulejovic,50,m,l,50.498656,14.037269,
136,Hartleb z Myslibořic,5,m,p,49.104759,15.981915,
137,Hartleb ze Stařechovic,14,m,h,49.532774,17.053566,
138,Hartleb ze Skal,14,m,h,49.637924,16.208122,
139,Hašek z Valdštejna na Ostrohu,44,m,p,48.985903,17.390703,
140,Hertlin z Lichtensteina,17,m,h,48.096139,16.283160,
141,Hynek z Letovic,1,m,p,49.547132,16.572551,
142,Hynek z Lípy,29,m,h,50.679794,14.538797,
143,Hynek z Osové,31,m,p,49.328755,16.195869,
144,Hynek z Pačova,50,m,l,49.471373,15.001383,
145,Hyzla,?,f,?,?,?,
146,Hyzla z Ronova,31,f,h,49.565616,15.773737,
147,Hyzla z Vartenberka,25,f,h,48.857491,16.484723,
148,Jan Hlaváč z Ronova,31,m,p,49.565616,15.773737,
149,Jan Kropáč z Holštejna,34,m,h,49.406321,16.777645,
150,Jan Ozor z Boskovic,12,m,h,49.489287,16.655316,
151,Jan Ptáček z Pirkštejna,40,m,h,49.840958,14.954719,
152,Jan ml z Meziříčí,10,m,h,49.356676,16.012184,
153,Jan z Bechyně,35,m,p,49.295967,14.468245,
154,Jan z Boskovic (1),12,m,h,49.489287,16.655316,
155,Jan z Boskovic (2),12,m,h,49.489287,16.655316,
156,Jan z Konic,30,m,h,49.591845,16.888002,
157,Jan z Kravař,23,m,h,49.932302,18.007139,
158,Jan z Lomnice (1),10,m,h,49.404650,16.412104,
159,Jan z Lomnice (2),10,m,h,49.404650,16.412104,
160,Jan z Meziříčí,10,m,h,49.356676,16.012184,
161,Jan z Tasova,10,m,p,49.287186,16.095281,
162,Jan z Šelmberka,33,m,p,49.548305,14.825942,
163,Jan ze Sovince,38,m,h,49.837427,17.245907,
164,Jan ze Šternberka,15,m,h,49.726674,17.287246,
165,Januš z Bechyně,35,m,p,49.295967,14.468245,
